threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none
0.01,0.2659613512694082,0.2659613512694082,0.0
0.02,0.26427443015120744,0.25847116097623885,0.0
0.03,0.26129867591733036,0.25082653376980835,0.0
0.04,0.25750394944707744,0.24302264349657715,0.0
0.05,0.2536792217510601,0.23505446079654113,0.0
0.06,0.25125205875432755,0.22691674229437667,0.0
0.07,0.2502505563199646,0.21860401909324095,0.0
0.08,0.24912425303935706,0.21011058451816747,0.0
0.09,0.2485981632901064,0.20143048105133415,0.0
0.1,0.24837633842373177,0.19255748639634895,0.0
0.11,0.2477412712782008,0.1834850986030495,0.0
0.12,0.2473790033031739,0.1742065201780842,0.0
0.13,0.24735341649870166,0.16471464109967132,0.0
0.14,0.24747419082258715,0.15500202064734192,0.0
0.15,0.24533035963200445,0.14506086794907536,0.0
0.16,0.24509140148950573,0.13488302113894532,0.0
0.17,0.2426959020917794,0.12445992500808922,0.0
0.18,0.24028050707047352,0.11378260702038298,0.0
0.19,0.23858561036022857,0.10284165155149885,0.0
0.2,0.2385466034755134,0.09162717219589259,0.0
0.21,0.2365868778371028,0.08012878197052412,0.0
0.22,0.23465791712237208,0.06833556122655651,0.0
0.23,0.23386881680720542,0.056236023060667634,0.0
0.24,0.22989939303234389,0.04381807599567639,0.0
0.25,0.2285413375460769,0.031068983675618778,0.0
0.26,0.22774433200973485,0.01797532129285684,0.0
0.27,0.2259300136337077,0.004522928433854878,0.0
0.28,0.22634720028084956,-0.009303142004563836,0.0
0.29,0.22557461673675544,-0.023518679215895733,0.0
0.3,0.22613405551794177,-0.03814037463326564,0.0
0.31,0.22609153559081438,-0.05318588730911006,0.0
0.32,0.2252578756621132,-0.06867391506365583,0.0
0.33,0.2245643818820589,-0.08462427200490447,0.0
0.34,0.22308391976638423,-0.10105797309588782,0.0
0.35,0.22323490096001944,-0.11799732652813227,0.0
0.36,0.22097156398104265,-0.13546603475513436,0.0
0.37,0.22026630557436244,-0.1534893051480729,0.0
0.38,0.219538296896499,-0.1720939713601386,0.0
0.39,0.2197964416129283,-0.19130862662833764,0.0
0.4,0.220115850447604,-0.21116377040547663,0.0
0.41,0.21782204728626128,-0.23169196990387453,0.0
0.42,0.21708340142724847,-0.25292803835049305,0.0
0.43,0.214351043485491,-0.27490923200576467,0.0
0.44,0.2136086662153013,-0.297675468291582,0.0
0.45,0.2141318397242568,-0.3212695677150653,0.0
0.46,0.21338716283424025,-0.3457375226727517,0.0
0.47,0.2126143849295061,-0.3711287966854452,0.0
0.48,0.21011058451816744,-0.39749665816016533,0.0
0.49,0.20611467335749464,-0.4248985534182076,0.0
0.5,0.20695102685624012,-0.45339652448657186,0.0
0.51,0.20466195957055808,-0.4830576780475223,0.0
0.52,0.20234333859926276,-0.5139547130068458,0.0
0.53,0.20157305636785317,-0.5461665154112468,0.0
0.54,0.20076928360464316,-0.5797788309636651,0.0
0.55,0.19835000877654907,-0.6148850272073023,0.0
0.56,0.19747235387045814,-0.6515869596438318,0.0
0.57,0.19655387780594438,-0.6899959587053164,0.0
0.58,0.19777326412397503,-0.7302339577221096,0.0
0.59,0.19685585481447232,-0.7724347859592339,0.0
0.6,0.19589257503949448,-0.8167456556082148,0.0
0.61,0.19330011747073358,-0.8633288775468869,0.0
0.62,0.19223413985199966,-0.9123638480086472,0.0
0.63,0.1911105418214423,-0.9640493574142862,0.0
0.64,0.1899245216780762,-1.018606284009128,0.0
0.65,0.1916046039268788,-1.0762807492665316,0.0
0.66,0.19040981321438527,-1.1373478301273119,0.0
0.67,0.1891426109435588,-1.2021159461917756,0.0
0.68,0.1877962085308057,-1.2709320695102688,0.0
0.69,0.18478316261529837,-1.3441879427202776,0.0
0.7,0.18694049499736703,-1.4223275408109535,0.0
0.71,0.1839080459770115,-1.505856076700987,0.0
0.72,0.18077183480027084,-1.5953509365831637,0.0
0.73,0.17910011116962146,-1.691475045345503,0.0
0.74,0.17729979341353752,-1.7949933163203302,0.0
0.75,0.17535545023696683,-1.9067930489731437,0.0
0.76,0.1782517114270669,-2.0279094260136916,0.0
0.77,0.1746685898756783,-2.1595576619273302,0.0
0.78,0.16774378859686914,-2.303173919287664,0.0
0.79,0.16535018430753026,-2.4604679154442195,0.0
0.8,0.1627172195892575,-2.63349131121643,0.0
0.81,0.1598071006901139,-2.8247276960172956,0.0
0.82,0.15499385641565733,-3.0372125680182562,0.0
0.83,0.14980020444196634,-3.2746956602546247,0.0
0.84,0.14573459715639805,-3.54186413902054,0.0
0.85,0.1484992101105845,-3.8446550816219056,0.0
0.86,0.16023470999774317,-4.1907018731663275,0.0
0.87,0.15202333211811886,-4.58998663264066,0.0
0.88,0.14797261716692997,-5.055818852027383,0.0
0.89,0.14318540858825218,-5.606347838575327,0.0
0.9,0.13744075829383887,-6.26698262243286,0.0
0.91,0.12725996138318413,-7.0744251360365125,0.0
0.92,0.11848341232227486,-8.083728278041079,0.0
0.93,0.10561949898442782,-9.381403746332662,0.0
0.94,0.08741442864665604,-11.111637704054777,0.0
0.95,0.05845181674565543,-13.533965244865739,0.0
