y_true,is_real,sample_weight,oof_catboost,oof_fttransformer
1,1,4.0,0.9590147785433837,0.9953867793083191
0,1,4.0,0.0013555512439570904,0.014950533397495747
0,1,4.0,0.001575963529415125,0.006210741586983204
1,1,4.0,0.04382282454851012,0.5095826983451843
0,1,4.0,0.02925982941670465,0.0021148810628801584
0,1,4.0,0.00010754558830873831,0.003981063608080149
0,1,4.0,0.0006984266788906279,0.00306169455870986
0,1,4.0,0.00018678489994279043,0.002106710569933057
0,1,4.0,0.0012749314461537398,0.0102209048345685
0,1,4.0,0.1273044030830079,0.0021604872308671474
1,1,4.0,0.9809588327880394,0.9937413334846497
0,1,4.0,0.5025431744442074,0.6880356669425964
0,1,4.0,4.3315797247996e-05,0.004589617718011141
1,1,4.0,0.9983550321434872,0.9921365976333618
0,1,4.0,0.4479211559584559,0.41808751225471497
1,1,4.0,0.9678726716317966,0.9551681876182556
1,1,4.0,0.9996188118810134,0.9962649941444397
0,1,4.0,0.007497501922179015,0.00698282802477479
0,1,4.0,0.011182210615392343,0.002500000409781933
0,1,4.0,0.016174930412643618,0.011508896946907043
0,1,4.0,0.01426382754689497,0.0037657571956515312
0,1,4.0,0.0027957568725599452,0.009762398898601532
1,1,4.0,0.9948334384524639,0.9939748644828796
0,1,4.0,0.0014477717865016009,0.007657525595277548
0,1,4.0,0.0020897781655517447,0.00782034918665886
1,1,4.0,0.9952766545415437,0.9910645484924316
1,1,4.0,0.9989063926953448,0.9976196885108948
0,1,4.0,0.0002545355070105196,0.004706866107881069
0,1,4.0,0.0004446472832736011,0.003021015552803874
0,1,4.0,0.0008397103151626825,0.0059792641550302505
0,1,4.0,0.351085485419855,0.07852981984615326
0,1,4.0,0.331855587685309,0.8305476903915405
0,1,4.0,0.0004118699620083178,0.0030445402953773737
0,1,4.0,5.2560794278426754e-05,0.004318024031817913
0,1,4.0,8.798449991635227e-05,0.005827846936881542
0,1,4.0,0.001321787262048925,0.003049736376851797
0,1,4.0,0.040269496101297826,0.6863932609558105
0,1,4.0,0.008074902118931008,0.005373457446694374
0,1,4.0,0.00017120410355474464,0.004155740607529879
0,1,4.0,0.21481006750363704,0.036562252789735794
0,1,4.0,0.009497625023139611,0.05840027332305908
0,1,4.0,4.418155149889329e-05,0.003228036919608712
0,1,4.0,0.0010047777684128634,0.0068647596053779125
1,1,4.0,0.9971406327958454,0.9783857464790344
0,1,4.0,0.010019953100772458,0.0037701406981796026
0,1,4.0,0.00030774601964444483,0.003136988263577223
1,1,4.0,0.9927155020159432,0.9952895641326904
0,1,4.0,0.024931245931523318,0.026523197069764137
0,1,4.0,0.9147384735649595,0.9334453344345093
0,1,4.0,0.001046122962017325,0.003975215833634138
1,1,4.0,0.9998955737339104,0.995517909526825
1,1,4.0,0.9925940984366085,0.995707631111145
1,1,4.0,0.9968427532487399,0.9878256916999817
1,1,4.0,0.6083675987147243,0.6889792680740356
0,1,4.0,0.22382763170916234,0.08996590971946716
0,1,4.0,0.0006007036275265263,0.003800047095865011
1,1,4.0,0.9999864479134362,0.9938669800758362
0,1,4.0,0.10320494331426033,0.014356572180986404
0,1,4.0,2.9809007709882864e-05,0.004336246754974127
0,1,4.0,0.0031815709462986986,0.003078163368627429
1,1,4.0,0.7582559872714751,0.840226948261261
0,1,4.0,0.0001202517347219167,0.0020585241727530956
1,1,4.0,0.9995108574512952,0.9964273571968079
0,1,4.0,0.025912577143725815,0.015793874859809875
1,1,4.0,0.9735446006514618,0.9932330250740051
